instance,client_number,distance_centroid_depot,average_distance_to_depot,cv_distance_to_depot,average_distance_to_centroid,cv_distance_to_centroid,ratio_mean_client_demand_capacity,ratio_cv_client_demand_capacity,average_clients_per_vehicle,avg_NN_distances,cv_NN_distances,optimal_min_samples,cluster_ratio,outlier_ratio,avg_clients_per_cluster,cv_clients_per_cluster,intra_cluster_distance,inter_cluster_distance
Golden_1.vrp,240.0,0.0,0.4127,0.1915,0.4127,0.1915,[0.0364],[0.0909],1.0,0.0638,0.002,2,0.1292,0.3125,0.0323,0.0082,0.0694,0.0486
Golden_10.vrp,323.0,0.7093,0.7745,1.5986,0.4037,1.5396,[0.047],[0.0777],1.0,0.0588,0.0,2,0.0031,0.0,1.0,0.0,0.4037,0.0
Golden_11.vrp,399.0,0.7089,0.7733,1.4272,0.4016,1.3789,[0.0426],[0.0803],1.0,0.0526,0.0,2,0.0025,0.0,1.0,0.0,0.4016,0.0
Golden_12.vrp,483.0,0.7086,0.7724,1.2888,0.3999,1.2486,[0.0387],[0.0831],1.0,0.0476,0.0,2,0.0021,0.0,1.0,0.0,0.3999,0.0
Golden_13.vrp,252.0,0.0,0.5844,1.6568,0.5844,1.6568,[0.0997],[0.0562],1.0,0.0943,0.0,9,0.0079,0.0476,0.5,0.0036,0.3857,0.0
Golden_14.vrp,320.0,0.0,0.5787,1.4787,0.5787,1.4787,[0.0896],[0.0596],1.0,0.0832,0.0,9,0.0063,0.0375,0.5,0.0029,0.371,0.0
Golden_15.vrp,396.0,0.0,0.5742,1.334,0.5742,1.334,[0.0814],[0.0625],1.0,0.0744,0.0,9,0.0051,0.0303,0.5,0.0024,0.3596,0.0
Golden_16.vrp,480.0,0.0,0.5707,1.2145,0.5707,1.2145,[0.0745],[0.0652],1.0,0.0673,0.0,9,0.0042,0.025,0.5,0.002,0.3505,0.0
Golden_17.vrp,240.0,0.0,0.3986,1.275,0.3986,1.275,[0.09],[0.3239],1.0,0.049,0.0187,2,0.1792,0.45,0.0233,0.0119,0.0351,0.0498
Golden_18.vrp,300.0,0.0,0.3728,1.1971,0.3728,1.1971,[0.09],[0.3239],1.0,0.0417,0.0174,2,0.2167,0.3667,0.0154,0.0096,0.0286,0.0435
Golden_19.vrp,360.0,0.0,0.3359,1.0782,0.3359,1.0782,[0.09],[0.3239],1.0,0.0378,0.015,2,0.2028,0.4056,0.0137,0.0094,0.0239,0.035
Golden_2.vrp,320.0,0.0,0.3978,0.1499,0.3978,0.1499,[0.0286],[0.0714],1.0,0.0579,0.0014,2,0.0969,0.4844,0.0323,0.0085,0.056,0.0364
Golden_20.vrp,420.0,0.0,0.3102,0.9802,0.3102,0.9802,[0.09],[0.3239],1.0,0.0348,0.0137,2,0.2071,0.4095,0.0115,0.0089,0.0202,0.0322
Golden_3.vrp,400.0,0.0,0.3889,0.123,0.3889,0.123,[0.0222],[0.0556],1.0,0.051,0.001,2,0.0775,0.5875,0.0323,0.0081,0.0473,0.0292
Golden_4.vrp,480.0,0.0,0.383,0.1043,0.383,0.1043,[0.02],[0.05],1.0,0.0452,0.0008,2,0.0646,0.6562,0.0323,0.0075,0.0414,0.0243
Golden_5.vrp,200.0,0.0,0.389,0.1229,0.389,0.1229,[0.0222],[0.0556],1.0,0.062,0.0006,39,0.005,0.0,1.0,0.0,0.389,0.0
Golden_6.vrp,280.0,0.0,0.3887,0.1232,0.3887,0.1232,[0.0222],[0.0556],1.0,0.0578,0.0008,2,0.0571,0.6107,0.0625,0.0083,0.078,0.0118
Golden_7.vrp,360.0,0.0,0.389,0.1231,0.389,0.1231,[0.0222],[0.0556],1.0,0.0534,0.0009,2,0.0889,0.5222,0.0312,0.0082,0.0524,0.0187
Golden_8.vrp,440.0,0.0,0.3889,0.1231,0.3889,0.1231,[0.0222],[0.0556],1.0,0.0491,0.001,2,0.0477,0.4977,0.0476,0.0051,0.0916,0.0218
Golden_9.vrp,255.0,0.7099,0.776,1.816,0.4063,1.7424,[0.0527],[0.0746],1.0,0.0667,0.0,2,0.0039,0.0,1.0,0.0,0.4063,0.0
