instance,ANN_min,KNN_min,RF_min
p01,576.87 1,596.14 1,582.88 1
p02,492.58 1,488.52 1,488.52 1
p03,655.08 1,652.91 1,648.99 1
p04,1067.47 1,1031.8 1,1021.33 1
p05,778.85 1,773.83 1,775.1 1
p06,900.25 1,897.1 1,888.83 1
p07,917.52 0,913.22 0,913.67 1
p08,5010.73 0,4940.2 0,4950.53 0
p09,4391.82 1,4377.16 1,4362.5 1
p10,4108.11 1,4117.94 1,4045.37 1
p11,3974.59 0,3931.84 0,3919.74 0
p12,1318.95 1,1318.95 1,1318.95 1
p13,1318.95 1,1318.95 1,1318.95 1
p14,1318.95 0,1318.95 0,1318.95 0
p15,2568.5 1,2585.42 1,2577.52 1
p16,2569.63 0,2577.52 0,2577.52 0
p17,2579.25 0,2585.42 0,2568.5 0
p18,3921.57 1,3904.49 1,3864.55 1
p19,3921.57 0,3917.84 0,3914.75 0
p20,3957.46 0,3935.13 0,3879.17 0
p21,6103.47 1,6159.64 1,6048.64 1
p22,6124.06 0,6245.65 0,6248.37 0
p23,6149.14 0,6173.11 0,6145.66 0
pr01,891.54 1,891.54 1,891.54 1
pr02,1366.06 1,1358.29 0,1354.58 1
pr03,1878.82 1,1865.99 1,1846.61 1
pr04,2175.18 0,2173.97 0,2174.51 0
pr05,2456.65 0,2589.34 0,2546.6 0
pr06,2934.66 0,2881.42 0,2922.88 0
pr07,1153.27 1,1153.27 1,1153.27 1
pr08,1706.78 0,1716.91 0,1704.8 0
pr09,4774.59 0,2272.32 0,2217.14 0
pr10,2961.51 0,3034.36 0,3074.68 0
