instance,min,max,average
p01,584.506,607.808,598.3181999999999
p02,488.523,498.946,494.2473
p03,654.875,660.915,658.6104
p04,1042.55,1099.79,1063.279
p05,774.898,789.207,782.5678
p06,896.186,932.005,912.6512999999999
p07,914.273,942.026,924.5636000000001
p08,4899.56,5249.63,5032.075000000001
p09,4405.44,4633.75,4511.633
p10,4133.7,4286.14,4229.873000000001
p11,4013.24,4136.87,4087.9729999999995
p12,1318.95,1326.85,1324.48
p13,1318.95,1326.85,1324.48
p14,1318.95,1326.85,1322.9
p15,2568.5,2623.58,2593.3190000000004
p16,2568.5,2678.43,2619.4549999999995
p17,2577.52,2665.93,2600.9910000000004
p18,3930.86,4122.28,4024.318
p19,3881.19,4084.11,3982.983
p20,3942.91,4153.29,4011.8729999999996
p21,5978.32,6397.7,6210.56
p22,6096.66,6422.17,6254.597
p23,6008.53,6288.19,6162.853
pr01,891.538,891.538,891.5380000000002
pr02,1331.07,1394.48,1368.39
pr03,1854.72,1889.12,1874.145
pr04,2166.57,2207.32,2184.836
pr05,2481.07,2625.77,2545.398
pr06,2885.15,2982.23,2919.5819999999994
pr07,1146.48,1153.79,1152.131
pr08,1706.49,1742.55,1723.1870000000004
pr09,2239.67,2328.15,2267.4829999999993
pr10,3074.68,3192.39,3130.4629999999997
