instance,id_repeticion,FO
p01,0,596.1331168831168
p01,1,597.725
p01,2,597.7423822714682
p01,3,596.5222772277227
p01,4,597.7964285714286
p01,5,597.6676300578034
p01,6,597.126582278481
p01,7,598.1477987421383
p01,8,598.4625
p01,9,600.2326007326008
p06,0,923.78025477707
p06,1,917.021052631579
p06,2,919.0841584158416
p06,3,926.119922630561
p06,4,918.4694323144105
p06,5,917.9041095890411
p06,6,921.9464285714286
p06,7,917.1029411764706
p06,8,920.1939058171745
p06,9,922.9454545454546
p12,0,1324.3736730360934
p12,1,1323.8738461538462
p12,2,1324.561224489796
p12,3,1323.1353711790393
p12,4,1321.8849315068494
p12,5,1322.2608695652175
p12,6,1322.132530120482
p12,7,1324.7276995305165
p12,8,1322.7865853658536
p12,9,1323.2869080779944
p18,0,4028.5116279069766
p18,1,3971.1190476190477
p18,2,4097.325892857143
p18,3,4056.2248908296942
p18,4,4001.921383647799
p18,5,4047.986328125
p18,6,4052.4557823129253
p18,7,4002.313152400835
p18,8,3965.0538793103447
p18,9,4010.849840255591
p23,0,6172.132432432432
p23,1,6176.60294117647
p23,2,6491.038990825688
p23,3,6387.547085201793
p23,4,6175.533697632059
p23,5,6292.660944206009
p23,6,6338.188073394495
p23,7,6073.545751633987
p23,8,6302.699152542373
p23,9,6176.077966101695
